name,label,kind
uberon:0001594::Anatomy,azygos vein,Anatomy
uberon:0001597::Anatomy,masseter muscle,Anatomy
uberon:0001598::Anatomy,temporalis muscle,Anatomy
uberon:0001599::Anatomy,stapedius muscle,Anatomy
uberon:0001600::Anatomy,tensor tympani,Anatomy
uberon:0001616::Anatomy,maxillary artery,Anatomy
uberon:0001619::Anatomy,ophthalmic artery,Anatomy
uberon:0001620::Anatomy,central retinal artery,Anatomy
uberon:0001624::Anatomy,anterior cerebral artery,Anatomy
uberon:0001627::Anatomy,middle cerebral artery,Anatomy
uberon:0001633::Anatomy,basilar artery,Anatomy
uberon:0001636::Anatomy,posterior cerebral artery,Anatomy
uberon:0001637::Anatomy,artery,Anatomy
uberon:0001638::Anatomy,vein,Anatomy
uberon:0001640::Anatomy,celiac artery,Anatomy
uberon:0001643::Anatomy,oculomotor nerve,Anatomy
uberon:0001644::Anatomy,trochlear nerve,Anatomy
uberon:0001645::Anatomy,trigeminal nerve,Anatomy
uberon:0001646::Anatomy,abducens nerve,Anatomy
uberon:0001647::Anatomy,facial nerve,Anatomy
uberon:0001648::Anatomy,vestibulocochlear nerve,Anatomy
uberon:0001649::Anatomy,glossopharyngeal nerve,Anatomy
uberon:0001650::Anatomy,hypoglossal nerve,Anatomy
uberon:0001673::Anatomy,central retinal vein,Anatomy
uberon:0001675::Anatomy,trigeminal ganglion,Anatomy
uberon:0001676::Anatomy,occipital bone,Anatomy
uberon:0001677::Anatomy,sphenoid bone,Anatomy
uberon:0001678::Anatomy,temporal bone,Anatomy
uberon:0001679::Anatomy,ethmoid bone,Anatomy
uberon:0001681::Anatomy,nasal bone,Anatomy
uberon:0001684::Anatomy,mandible,Anatomy
uberon:0001685::Anatomy,hyoid bone,Anatomy
uberon:0001687::Anatomy,stapes bone,Anatomy
uberon:0001688::Anatomy,incus bone,Anatomy
uberon:0001689::Anatomy,malleus bone,Anatomy
uberon:0001690::Anatomy,ear,Anatomy
uberon:0001691::Anatomy,external ear,Anatomy
uberon:0001694::Anatomy,petrous part of temporal bone,Anatomy
uberon:0001697::Anatomy,orbit of skull,Anatomy
uberon:0001700::Anatomy,geniculate ganglion,Anatomy
uberon:0001702::Anatomy,eyelash,Anatomy
uberon:0001705::Anatomy,nail,Anatomy
uberon:0001707::Anatomy,nasal cavity,Anatomy
uberon:0001708::Anatomy,jaw skeleton,Anatomy
uberon:0001710::Anatomy,lower jaw region,Anatomy
uberon:0001711::Anatomy,eyelid,Anatomy
uberon:0001716::Anatomy,secondary palate,Anatomy
uberon:0001717::Anatomy,spinal nucleus of trigeminal nerve,Anatomy
uberon:0001720::Anatomy,cochlear nucleus,Anatomy
uberon:0001723::Anatomy,tongue,Anatomy
uberon:0001724::Anatomy,sphenoidal sinus,Anatomy
uberon:0001733::Anatomy,soft palate,Anatomy
uberon:0001734::Anatomy,palatine uvula,Anatomy
uberon:0001736::Anatomy,submandibular gland,Anatomy
uberon:0001737::Anatomy,larynx,Anatomy
uberon:0001744::Anatomy,lymphoid tissue,Anatomy
uberon:0001750::Anatomy,lacrimal apparatus,Anatomy
uberon:0001756::Anatomy,middle ear,Anatomy
uberon:0001759::Anatomy,vagus nerve,Anatomy
uberon:0001760::Anatomy,frontal sinus,Anatomy
uberon:0001762::Anatomy,turbinate bone,Anatomy
uberon:0001764::Anatomy,maxillary sinus,Anatomy
uberon:0001768::Anatomy,uvea,Anatomy
uberon:0001769::Anatomy,iris,Anatomy
uberon:0001771::Anatomy,pupil,Anatomy
uberon:0001772::Anatomy,corneal epithelium,Anatomy
uberon:0001773::Anatomy,sclera,Anatomy
uberon:0001775::Anatomy,ciliary body,Anatomy
uberon:0001776::Anatomy,optic choroid,Anatomy
uberon:0001777::Anatomy,substantia propria of cornea,Anatomy
uberon:0001780::Anatomy,spinal nerve,Anatomy
uberon:0001783::Anatomy,optic disc,Anatomy
uberon:0001785::Anatomy,cranial nerve,Anatomy
uberon:0001786::Anatomy,fovea centralis,Anatomy
uberon:0001796::Anatomy,aqueous humor of eyeball,Anatomy
uberon:0001805::Anatomy,autonomic ganglion,Anatomy
uberon:0001814::Anatomy,brachial nerve plexus,Anatomy
uberon:0001815::Anatomy,lumbosacral nerve plexus,Anatomy
uberon:0001818::Anatomy,tarsal gland,Anatomy
uberon:0001820::Anatomy,sweat gland,Anatomy
uberon:0001821::Anatomy,sebaceous gland,Anatomy
uberon:0001825::Anatomy,paranasal sinus,Anatomy
uberon:0001827::Anatomy,secretion of lacrimal gland,Anatomy
uberon:0001831::Anatomy,parotid gland,Anatomy
uberon:0001832::Anatomy,sublingual gland,Anatomy
uberon:0001833::Anatomy,lip,Anatomy
uberon:0001836::Anatomy,saliva,Anatomy
uberon:0001837::Anatomy,duct of salivary gland,Anatomy
uberon:0001840::Anatomy,semicircular canal,Anatomy
uberon:0001844::Anatomy,cochlea,Anatomy
uberon:0001846::Anatomy,internal ear,Anatomy
uberon:0001855::Anatomy,cochlear duct of membranous labyrinth,Anatomy
uberon:0001860::Anatomy,endolymphatic duct,Anatomy
uberon:0001864::Anatomy,scala tympani,Anatomy
uberon:0001866::Anatomy,sebum,Anatomy
uberon:0001884::Anatomy,phrenic nerve,Anatomy
uberon:0001886::Anatomy,choroid plexus,Anatomy
uberon:0001887::Anatomy,internal capsule of telencephalon,Anatomy
uberon:0001890::Anatomy,forebrain,Anatomy
uberon:0001891::Anatomy,midbrain,Anatomy
uberon:0001893::Anatomy,telencephalon,Anatomy
uberon:0001895::Anatomy,metencephalon,Anatomy
uberon:0001896::Anatomy,medulla oblongata,Anatomy
uberon:0001905::Anatomy,pineal body,Anatomy
uberon:0001908::Anatomy,optic tract,Anatomy
uberon:0001910::Anatomy,medial forebrain bundle,Anatomy
uberon:0001911::Anatomy,mammary gland,Anatomy
uberon:0001914::Anatomy,colostrum,Anatomy
uberon:0001968::Anatomy,semen,Anatomy
uberon:0001969::Anatomy,blood plasma,Anatomy
uberon:0001970::Anatomy,bile,Anatomy
uberon:0001971::Anatomy,gastric juice,Anatomy
uberon:0001980::Anatomy,arteriole,Anatomy
uberon:0001981::Anatomy,blood vessel,Anatomy
uberon:0001985::Anatomy,corneal endothelium,Anatomy
uberon:0001986::Anatomy,endothelium,Anatomy
uberon:0001988::Anatomy,feces,Anatomy
uberon:0001989::Anatomy,superior cervical ganglion,Anatomy
uberon:0002005::Anatomy,enteric nervous system,Anatomy
uberon:0002010::Anatomy,celiac nerve plexus,Anatomy
uberon:0002012::Anatomy,pulmonary artery,Anatomy
uberon:0002016::Anatomy,pulmonary vein,Anatomy
uberon:0002017::Anatomy,portal vein,Anatomy
uberon:0002018::Anatomy,synovial membrane of synovial joint,Anatomy
uberon:0002019::Anatomy,accessory XI nerve,Anatomy
uberon:0002028::Anatomy,hindbrain,Anatomy
uberon:0002030::Anatomy,nipple,Anatomy
uberon:0002037::Anatomy,cerebellum,Anatomy
uberon:0002040::Anatomy,bronchial artery,Anatomy
uberon:0002046::Anatomy,thyroid gland,Anatomy
uberon:0002048::Anatomy,lung,Anatomy
uberon:0002053::Anatomy,zona glomerulosa of adrenal gland,Anatomy
uberon:0002054::Anatomy,zona fasciculata of adrenal gland,Anatomy
uberon:0002055::Anatomy,zona reticularis of adrenal gland,Anatomy
uberon:0002060::Anatomy,femoral artery,Anatomy
uberon:0002061::Anatomy,truncus arteriosus,Anatomy
uberon:0002066::Anatomy,umbilical vein,Anatomy
uberon:0002067::Anatomy,dermis,Anatomy
uberon:0002073::Anatomy,hair follicle,Anatomy
uberon:0002081::Anatomy,cardiac atrium,Anatomy
uberon:0002082::Anatomy,cardiac ventricle,Anatomy
uberon:0002097::Anatomy,skin of body,Anatomy
uberon:0002099::Anatomy,cardiac septum,Anatomy
uberon:0002102::Anatomy,forelimb,Anatomy
uberon:0002103::Anatomy,hindlimb,Anatomy
uberon:0002107::Anatomy,liver,Anatomy
uberon:0002110::Anatomy,gall bladder,Anatomy
uberon:0002113::Anatomy,kidney,Anatomy
uberon:0002129::Anatomy,cerebellar cortex,Anatomy
uberon:0002130::Anatomy,cerebellar nuclear complex,Anatomy
uberon:0002134::Anatomy,tricuspid valve,Anatomy
uberon:0002135::Anatomy,mitral valve,Anatomy
uberon:0002137::Anatomy,aortic valve,Anatomy
uberon:0002146::Anatomy,pulmonary valve,Anatomy
uberon:0002148::Anatomy,locus ceruleus,Anatomy
uberon:0002162::Anatomy,area postrema,Anatomy
uberon:0002165::Anatomy,endocardium,Anatomy
uberon:0002185::Anatomy,bronchus,Anatomy
uberon:0002204::Anatomy,musculoskeletal system,Anatomy
uberon:0002205::Anatomy,manubrium of sternum,Anatomy
uberon:0002223::Anatomy,endolymphatic sac,Anatomy
uberon:0002226::Anatomy,basilar membrane of cochlea,Anatomy
uberon:0002228::Anatomy,rib,Anatomy
uberon:0002240::Anatomy,spinal cord,Anatomy
uberon:0002250::Anatomy,popliteal artery,Anatomy
uberon:0002275::Anatomy,reticular formation,Anatomy
uberon:0002279::Anatomy,vestibular aqueduct,Anatomy
uberon:0002282::Anatomy,stria vascularis of cochlear duct,Anatomy
uberon:0002285::Anatomy,telencephalic ventricle,Anatomy
uberon:0002286::Anatomy,third ventricle,Anatomy
uberon:0002294::Anatomy,biliary system,Anatomy
uberon:0002297::Anatomy,cerumen,Anatomy
uberon:0002298::Anatomy,brainstem,Anatomy
uberon:0002299::Anatomy,alveolus of lung,Anatomy
uberon:0002303::Anatomy,juxtaglomerular apparatus,Anatomy
uberon:0002347::Anatomy,thoracic vertebra,Anatomy
uberon:0002349::Anatomy,myocardium,Anatomy
uberon:0002351::Anatomy,sinoatrial node,Anatomy
uberon:0002352::Anatomy,atrioventricular node,Anatomy
uberon:0002353::Anatomy,atrioventricular bundle,Anatomy
uberon:0002354::Anatomy,purkinje fiber,Anatomy
uberon:0002356::Anatomy,perineum,Anatomy
uberon:0002360::Anatomy,meninx,Anatomy
uberon:0002361::Anatomy,pia mater,Anatomy
uberon:0002362::Anatomy,arachnoid mater,Anatomy
uberon:0002363::Anatomy,dura mater,Anatomy
uberon:0002365::Anatomy,exocrine gland,Anatomy
uberon:0002366::Anatomy,bulbo-urethral gland,Anatomy
uberon:0002367::Anatomy,prostate gland,Anatomy
uberon:0002368::Anatomy,endocrine gland,Anatomy
uberon:0002369::Anatomy,adrenal gland,Anatomy
uberon:0002371::Anatomy,bone marrow,Anatomy
uberon:0002377::Anatomy,muscle of neck,Anatomy
uberon:0002378::Anatomy,muscle of abdomen,Anatomy
uberon:0002382::Anatomy,rectus abdominis muscle,Anatomy
uberon:0002384::Anatomy,connective tissue,Anatomy
uberon:0002385::Anatomy,muscle tissue,Anatomy
uberon:0002386::Anatomy,forelimb zeugopod,Anatomy
uberon:0002387::Anatomy,pes,Anatomy
uberon:0002389::Anatomy,manual digit,Anatomy
uberon:0002390::Anatomy,hematopoietic system,Anatomy
uberon:0002392::Anatomy,nasolacrimal duct,Anatomy
uberon:0002394::Anatomy,bile duct,Anatomy
uberon:0002397::Anatomy,maxilla,Anatomy
uberon:0002398::Anatomy,manus,Anatomy
uberon:0002405::Anatomy,immune system,Anatomy
uberon:0002407::Anatomy,pericardium,Anatomy
uberon:0002410::Anatomy,autonomic nervous system,Anatomy
uberon:0002411::Anatomy,clitoris,Anatomy
uberon:0002413::Anatomy,cervical vertebra,Anatomy
uberon:0002414::Anatomy,lumbar vertebra,Anatomy
uberon:0002418::Anatomy,cartilage tissue,Anatomy
uberon:0002422::Anatomy,fourth ventricle,Anatomy
uberon:0002439::Anatomy,myenteric nerve plexus,Anatomy
uberon:0002441::Anatomy,cervicothoracic ganglion,Anatomy
uberon:0002450::Anatomy,decidua,Anatomy
uberon:0002453::Anatomy,ethmoid sinus,Anatomy
uberon:0002466::Anatomy,intestine secretion,Anatomy
uberon:0002481::Anatomy,bone tissue,Anatomy
uberon:0002486::Anatomy,glottis,Anatomy
uberon:0002494::Anatomy,papillary muscle of heart,Anatomy
uberon:0002497::Anatomy,acromion,Anatomy
uberon:0002500::Anatomy,zygomatic arch,Anatomy
uberon:0002501::Anatomy,oval window,Anatomy
uberon:0002502::Anatomy,round window of inner ear,Anatomy
uberon:0002512::Anatomy,corpus luteum,Anatomy
uberon:0002515::Anatomy,periosteum,Anatomy
uberon:0002516::Anatomy,epiphyseal plate,Anatomy
uberon:0002517::Anatomy,basicranium,Anatomy
uberon:0002518::Anatomy,otolith organ,Anatomy
uberon:0002519::Anatomy,otolithic part of statoconial membrane,Anatomy
uberon:0002521::Anatomy,elastic tissue,Anatomy
uberon:0002522::Anatomy,tunica media,Anatomy
uberon:0002523::Anatomy,tunica intima,Anatomy
uberon:0002606::Anatomy,neuropil,Anatomy
uberon:0002673::Anatomy,vestibular nuclear complex,Anatomy
uberon:0002707::Anatomy,corticospinal tract,Anatomy
uberon:0002741::Anatomy,diagonal band of Broca,Anatomy
uberon:0002925::Anatomy,trigeminal nucleus,Anatomy
uberon:0002944::Anatomy,spinothalamic tract of medulla,Anatomy
uberon:0003092::Anatomy,ultimobranchial body,Anatomy
uberon:0003126::Anatomy,trachea,Anatomy
uberon:0003129::Anatomy,skull,Anatomy
uberon:0003216::Anatomy,hard palate,Anatomy
uberon:0003685::Anatomy,cranial suture,Anatomy
uberon:0003889::Anatomy,fallopian tube,Anatomy
uberon:0004288::Anatomy,skeleton,Anatomy
uberon:0004452::Anatomy,carpal region,Anatomy
uberon:0004535::Anatomy,cardiovascular system,Anatomy
uberon:0004727::Anatomy,cochlear nerve,Anatomy
uberon:0004769::Anatomy,diaphysis,Anatomy
uberon:0006849::Anatomy,scapula,Anatomy
go:0000002::Biological Process,mitochondrial genome maintenance,Biological Process
go:0000012::Biological Process,single strand break repair,Biological Process
go:0000018::Biological Process,regulation of DNA recombination,Biological Process
go:0000019::Biological Process,regulation of mitotic recombination,Biological Process
go:0000022::Biological Process,mitotic spindle elongation,Biological Process
go:0000023::Biological Process,maltose metabolic process,Biological Process
go:0000027::Biological Process,ribosomal large subunit assembly,Biological Process
go:0000028::Biological Process,ribosomal small subunit assembly,Biological Process
go:0000032::Biological Process,cell wall mannoprotein biosynthetic process,Biological Process
go:0000038::Biological Process,very long-chain fatty acid metabolic process,Biological Process
go:0000041::Biological Process,transition metal ion transport,Biological Process
go:0000042::Biological Process,protein targeting to Golgi,Biological Process
go:0000045::Biological Process,autophagosome assembly,Biological Process
go:0000050::Biological Process,urea cycle,Biological Process
go:0000052::Biological Process,citrulline metabolic process,Biological Process
go:0000054::Biological Process,ribosomal subunit export from nucleus,Biological Process
go:0000055::Biological Process,ribosomal large subunit export from nucleus,Biological Process
go:0000056::Biological Process,ribosomal small subunit export from nucleus,Biological Process
go:0000059::Biological Process,"protein import into nucleus, docking",Biological Process
go:0000060::Biological Process,"protein import into nucleus, translocation",Biological Process
go:0000070::Biological Process,mitotic sister chromatid segregation,Biological Process
go:0000075::Biological Process,cell cycle checkpoint,Biological Process
go:0000076::Biological Process,DNA replication checkpoint,Biological Process
go:0000077::Biological Process,DNA damage checkpoint,Biological Process
go:0000079::Biological Process,regulation of cyclin-dependent protein serine/threonine kinase activity,Biological Process
go:0000082::Biological Process,G1/S transition of mitotic cell cycle,Biological Process
go:0000083::Biological Process,regulation of transcription involved in G1/S transition of mitotic cell cycle,Biological Process
go:0000086::Biological Process,G2/M transition of mitotic cell cycle,Biological Process
go:0000096::Biological Process,sulfur amino acid metabolic process,Biological Process
go:0000097::Biological Process,sulfur amino acid biosynthetic process,Biological Process
go:0000098::Biological Process,sulfur amino acid catabolic process,Biological Process
go:0000101::Biological Process,sulfur amino acid transport,Biological Process
go:0000103::Biological Process,sulfate assimilation,Biological Process
go:0000105::Biological Process,histidine biosynthetic process,Biological Process
go:0000122::Biological Process,negative regulation of transcription from RNA polymerase II promoter,Biological Process
go:0000132::Biological Process,establishment of mitotic spindle orientation,Biological Process
go:0000154::Biological Process,rRNA modification,Biological Process
go:0000160::Biological Process,phosphorelay signal transduction system,Biological Process
go:0000165::Biological Process,MAPK cascade,Biological Process
go:0000183::Biological Process,chromatin silencing at rDNA,Biological Process
go:0000184::Biological Process,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",Biological Process
go:0000185::Biological Process,activation of MAPKKK activity,Biological Process
go:0000186::Biological Process,activation of MAPKK activity,Biological Process
go:0000187::Biological Process,activation of MAPK activity,Biological Process
go:0000188::Biological Process,inactivation of MAPK activity,Biological Process
go:0000189::Biological Process,MAPK import into nucleus,Biological Process
go:0000209::Biological Process,protein polyubiquitination,Biological Process
go:0000212::Biological Process,meiotic spindle organization,Biological Process
go:0000226::Biological Process,microtubule cytoskeleton organization,Biological Process
go:0000244::Biological Process,spliceosomal tri-snRNP complex assembly,Biological Process
go:0000245::Biological Process,spliceosomal complex assembly,Biological Process
go:0000255::Biological Process,allantoin metabolic process,Biological Process
go:0000266::Biological Process,mitochondrial fission,Biological Process
go:0000270::Biological Process,peptidoglycan metabolic process,Biological Process
go:0000271::Biological Process,polysaccharide biosynthetic process,Biological Process
go:0000272::Biological Process,polysaccharide catabolic process,Biological Process
go:0000278::Biological Process,mitotic cell cycle,Biological Process
go:0000280::Biological Process,nuclear division,Biological Process
go:0000281::Biological Process,mitotic cytokinesis,Biological Process
go:0000288::Biological Process,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",Biological Process
go:0000289::Biological Process,nuclear-transcribed mRNA poly(A) tail shortening,Biological Process
go:0000290::Biological Process,deadenylation-dependent decapping of nuclear-transcribed mRNA,Biological Process
go:0000291::Biological Process,"nuclear-transcribed mRNA catabolic process, exonucleolytic",Biological Process
go:0000294::Biological Process,"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay",Biological Process
go:0000301::Biological Process,"retrograde transport, vesicle recycling within Golgi",Biological Process
go:0000302::Biological Process,response to reactive oxygen species,Biological Process
go:0000303::Biological Process,response to superoxide,Biological Process
go:0000305::Biological Process,response to oxygen radical,Biological Process
go:0000320::Biological Process,re-entry into mitotic cell cycle,Biological Process
go:0000338::Biological Process,protein deneddylation,Biological Process
go:0000350::Biological Process,generation of catalytic spliceosome for second transesterification step,Biological Process
go:0000354::Biological Process,cis assembly of pre-catalytic spliceosome,Biological Process
go:0000375::Biological Process,"RNA splicing, via transesterification reactions",Biological Process
go:0000377::Biological Process,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",Biological Process
go:0000379::Biological Process,tRNA-type intron splice site recognition and cleavage,Biological Process
go:0000380::Biological Process,"alternative mRNA splicing, via spliceosome",Biological Process
go:0000381::Biological Process,"regulation of alternative mRNA splicing, via spliceosome",Biological Process
go:0000387::Biological Process,spliceosomal snRNP assembly,Biological Process
go:0000389::Biological Process,mRNA 3'-splice site recognition,Biological Process
go:0000393::Biological Process,spliceosomal conformational changes to generate catalytic conformation,Biological Process
go:0000394::Biological Process,"RNA splicing, via endonucleolytic cleavage and ligation",Biological Process
go:0000395::Biological Process,mRNA 5'-splice site recognition,Biological Process
go:0000398::Biological Process,"mRNA splicing, via spliceosome",Biological Process
go:0000413::Biological Process,protein peptidyl-prolyl isomerization,Biological Process
go:0000414::Biological Process,regulation of histone H3-K36 methylation,Biological Process
go:0000422::Biological Process,mitophagy,Biological Process
go:0000423::Biological Process,macromitophagy,Biological Process
go:0000429::Biological Process,carbon catabolite regulation of transcription from RNA polymerase II promoter,Biological Process
go:0000430::Biological Process,regulation of transcription from RNA polymerase II promoter by glucose,Biological Process
go:0000432::Biological Process,positive regulation of transcription from RNA polymerase II promoter by glucose,Biological Process
go:0000436::Biological Process,carbon catabolite activation of transcription from RNA polymerase II promoter,Biological Process
go:0000447::Biological Process,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",Biological Process
